"No.","Time","Source","Destination","Protocol","Length","Info"
"322","0.413701","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"323","0.415656","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"324","0.415793","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=186881 Win=47085 Len=0"
"325","0.417765","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"326","0.420637","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"327","0.422849","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"328","0.422921","192.168.10.26","108.160.173.162","TCP","54","51073 > 443 [ACK] Seq=1 Ack=8761 Win=65520 Len=0"
"329","0.424760","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"330","0.424906","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=189801 Win=46355 Len=0"
"331","0.427638","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"332","0.430092","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"333","0.430172","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=192721 Win=45625 Len=0"
"334","0.430623","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"335","0.439234","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"336","0.439308","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=195641 Win=48180 Len=0"
"337","0.440095","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"338","0.440237","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"339","0.440268","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=198561 Win=47815 Len=0"
"340","0.440474","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"341","0.443624","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"342","0.443758","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=201481 Win=48180 Len=0"
"343","0.445891","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"344","0.447622","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"345","0.447726","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=204401 Win=47450 Len=0"
"346","0.450846","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"347","0.452611","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"348","0.452803","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=207321 Win=46720 Len=0"
"349","0.454831","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"350","0.457592","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"351","0.457776","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=210241 Win=45990 Len=0"
"352","0.458325","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"353","0.461852","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"354","0.461943","192.168.10.26","108.160.173.162","TCP","54","51071 > 443 [ACK] Seq=1 Ack=23361 Win=16560 Len=0"
"355","0.463243","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"356","0.465201","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"357","0.465329","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=36501 Win=16560 Len=0"
"358","0.468295","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"359","0.470391","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"360","0.470485","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=39421 Win=16560 Len=0"
"361","0.473816","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"362","0.474907","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"363","0.474984","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=213161 Win=45260 Len=0"
"364","0.477757","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"365","0.480288","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"366","0.480388","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=216081 Win=44530 Len=0"
"367","0.483225","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"368","0.483462","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"369","0.483513","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=219001 Win=43800 Len=0"
"370","0.486944","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"371","0.490721","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"372","0.490796","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=221921 Win=46720 Len=0"
"373","0.491356","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"374","0.493143","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"375","0.493318","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=224841 Win=45990 Len=0"
"376","0.498017","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"377","0.498410","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"378","0.498498","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=42341 Win=16560 Len=0"
"379","0.499951","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"380","0.501965","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"381","0.502047","192.168.10.26","108.160.173.162","TCP","54","51074 > 443 [ACK] Seq=1 Ack=45261 Win=16560 Len=0"
"382","0.505557","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"383","0.505759","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=227761 Win=45260 Len=0"
"384","0.507027","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"385","0.510698","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"386","0.510879","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=230681 Win=44530 Len=0"
"387","0.512814","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"388","0.514746","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"389","0.514840","192.168.10.26","108.160.173.162","TCP","54","51072 > 443 [ACK] Seq=1 Ack=26281 Win=16560 Len=0"
"390","0.516862","108.160.173.162","192.168.10.26","SSL","1514","Continuation Data"
"391","0.518915","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"392","0.521675","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"393","0.521776","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=233601 Win=43800 Len=0"
"394","0.523156","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"395","0.526715","54.230.6.15","192.168.10.26","SSLv2","1514","Encrypted Data"
"396","0.526818","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=236521 Win=43070 Len=0"
"397","0.528103","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"398","0.530575","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"399","0.530653","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=239441 Win=42705 Len=0"
"400","0.534042","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"401","0.534372","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"402","0.534513","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=242361 Win=41975 Len=0"
"403","0.541556","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"404","0.544202","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"405","0.544385","192.168.10.26","54.230.6.15","TCP","54","51063 > 443 [ACK] Seq=1 Ack=245281 Win=41610 Len=0"
"406","0.544656","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
"407","0.544732","54.230.6.15","192.168.10.26","TCP","1514","[TCP segment of a reassembled PDU]"
